Grupo,test,TCNO,Output,Decision
GrupoF,z32,2,NA,FALSE
GrupoF,z33,2,NA,FALSE
GrupoF,z34,2,NA,FALSE
GrupoF,z35,2,NA,FALSE
GrupoF,z36,2,NA,FALSE
GrupoF,z37,2,NA,FALSE
GrupoF,z38,2,NA,FALSE
GrupoF,z39,2,NA,FALSE
GrupoF,z40,2,NA,FALSE
GrupoF,z41,2,NA,FALSE
GrupoF,z42,2,NA,FALSE
GrupoF,z43,2,NA,FALSE
GrupoF,z44,2,NA,FALSE
GrupoF,z45,2,NA,FALSE
GrupoF,z46,2,NA,FALSE
GrupoF,z48,2,NA,FALSE
GrupoF,z49,2,NA,FALSE
GrupoF,z50,2,NA,FALSE
GrupoF,z51,1,NA,FALSE
GrupoF,z52,0,NA,TRUE
GrupoF,z53,0,NA,TRUE
GrupoF,z54,2,NA,FALSE
GrupoF,z55,2,NA,FALSE
GrupoF,z56,1,NA,FALSE
GrupoF,z57,2,NA,FALSE
GrupoF,z58,0,NA,TRUE
GrupoF,z59,0,NA,TRUE
GrupoG,z00,0,NA,TRUE
GrupoG,z01,0,NA,TRUE
GrupoG,z02,0,NA,TRUE
GrupoG,z03,0,NA,TRUE
GrupoG,z04,0,NA,TRUE
GrupoG,z05,0,NA,TRUE
GrupoG,z06,0,NA,TRUE
GrupoG,z07,0,NA,TRUE
GrupoG,z08,0,NA,TRUE
GrupoG,z09,0,NA,TRUE
GrupoG,z10,0,NA,TRUE
GrupoG,z11,0,NA,TRUE
GrupoG,z12,0,NA,TRUE
GrupoG,z13,0,NA,TRUE
GrupoG,z14,0,NA,TRUE
GrupoG,z15,0,NA,TRUE
GrupoG,z16,0,NA,TRUE
GrupoG,z17,0,NA,TRUE
GrupoG,z18,0,NA,TRUE
GrupoG,z19,0,NA,TRUE
GrupoG,z20,0,NA,TRUE
GrupoG,z21,0,NA,TRUE
GrupoG,z22,0,NA,TRUE
GrupoG,z23,0,NA,TRUE
GrupoG,z24,0,NA,TRUE
GrupoG,z25,0,NA,TRUE
GrupoG,z26,0,NA,TRUE
GrupoG,z27,0,NA,TRUE
GrupoG,z28,0,NA,TRUE
GrupoG,z29,0,NA,TRUE
GrupoG,z30,0,NA,TRUE
GrupoG,z31,0,NA,TRUE
GrupoG,z32,0,NA,TRUE
GrupoG,z33,0,NA,TRUE
GrupoG,z34,0,NA,TRUE
GrupoG,z35,0,NA,TRUE
GrupoG,z36,0,NA,TRUE
GrupoG,z37,0,NA,TRUE
GrupoG,z38,0,NA,TRUE
GrupoG,z39,0,NA,TRUE
GrupoG,z40,0,NA,TRUE
GrupoG,z41,0,NA,TRUE
GrupoG,z42,0,NA,TRUE
GrupoG,z43,0,NA,TRUE
GrupoG,z44,0,NA,TRUE
GrupoG,z45,0,NA,TRUE
GrupoG,z46,0,NA,TRUE
GrupoG,z48,0,NA,TRUE
GrupoG,z49,0,NA,TRUE
GrupoG,z50,0,NA,TRUE
GrupoG,z51,0,NA,TRUE
GrupoG,z52,0,NA,TRUE
GrupoG,z53,0,NA,TRUE
GrupoG,z54,0,NA,TRUE
GrupoG,z55,0,NA,TRUE
GrupoG,z56,0,NA,TRUE
GrupoG,z57,0,NA,TRUE
GrupoG,z58,0,NA,TRUE
GrupoG,z59,0,NA,TRUE
GrupoH,z00,0,NA,TRUE
GrupoH,z01,0,NA,TRUE
GrupoH,z02,0,NA,TRUE
GrupoH,z03,0,NA,TRUE
GrupoH,z04,0,NA,TRUE
GrupoH,z05,0,NA,TRUE
GrupoH,z06,0,NA,TRUE
GrupoH,z07,0,NA,TRUE
GrupoH,z08,0,NA,TRUE
GrupoH,z09,0,NA,TRUE
GrupoH,z10,0,NA,TRUE
GrupoH,z11,0,NA,TRUE
GrupoH,z12,0,NA,TRUE
GrupoH,z13,0,NA,TRUE
GrupoH,z14,0,NA,TRUE
GrupoH,z15,0,NA,TRUE
GrupoH,z16,0,NA,TRUE
GrupoH,z17,0,NA,TRUE
GrupoH,z18,0,NA,TRUE
GrupoH,z19,0,NA,TRUE
GrupoH,z20,0,NA,TRUE
GrupoH,z21,0,NA,TRUE
GrupoH,z22,0,NA,TRUE
GrupoH,z23,0,NA,TRUE
GrupoH,z24,0,NA,TRUE
GrupoH,z25,0,NA,TRUE
GrupoH,z26,0,NA,TRUE
GrupoH,z27,0,NA,TRUE
GrupoH,z28,0,NA,TRUE
GrupoH,z29,0,NA,TRUE
GrupoH,z30,0,NA,TRUE
GrupoH,z31,0,NA,TRUE
GrupoH,z32,0,NA,TRUE
GrupoH,z33,0,NA,TRUE
GrupoH,z34,0,NA,TRUE
GrupoH,z35,0,NA,TRUE
GrupoH,z36,0,NA,TRUE
GrupoH,z37,0,NA,TRUE
