Grupo,test,TCNO,Decision
GrupoH,z36,0,TRUE
GrupoH,z37,0,TRUE
GrupoH,z38,0,TRUE
GrupoH,z39,0,TRUE
GrupoH,z40,0,TRUE
GrupoH,z41,0,TRUE
GrupoH,z42,0,TRUE
GrupoH,z43,0,TRUE
GrupoH,z44,0,TRUE
GrupoH,z45,0,TRUE
GrupoH,z46,0,TRUE
GrupoH,z48,0,TRUE
GrupoH,z49,0,TRUE
GrupoH,z50,0,TRUE
GrupoH,z51,0,TRUE
GrupoH,z52,0,TRUE
GrupoH,z53,0,TRUE
GrupoH,z54,0,TRUE
GrupoH,z55,0,TRUE
GrupoH,z56,0,TRUE
GrupoH,z57,0,TRUE
GrupoH,z58,0,TRUE
GrupoH,z59,0,TRUE
GrupoJ,z00,0,TRUE
GrupoJ,z01,0,TRUE
GrupoJ,z02,0,TRUE
GrupoJ,z03,0,TRUE
GrupoJ,z04,0,TRUE
GrupoJ,z05,0,TRUE
GrupoJ,z06,0,TRUE
GrupoJ,z07,0,TRUE
GrupoJ,z08,0,TRUE
GrupoJ,z09,0,TRUE
GrupoJ,z10,0,TRUE
GrupoJ,z11,0,TRUE
GrupoJ,z12,0,TRUE
GrupoJ,z13,0,TRUE
GrupoJ,z14,0,TRUE
GrupoJ,z15,0,TRUE
GrupoJ,z16,0,TRUE
GrupoJ,z17,0,TRUE
GrupoJ,z18,0,TRUE
GrupoJ,z19,0,TRUE
GrupoJ,z20,0,TRUE
GrupoJ,z21,0,TRUE
GrupoJ,z22,0,TRUE
GrupoJ,z23,0,TRUE
GrupoJ,z24,0,TRUE
GrupoJ,z25,0,TRUE
GrupoJ,z26,0,TRUE
GrupoJ,z27,0,TRUE
GrupoJ,z28,0,TRUE
GrupoJ,z29,0,TRUE
GrupoJ,z30,0,TRUE
GrupoJ,z31,0,TRUE
GrupoJ,z32,0,TRUE
GrupoJ,z33,0,TRUE
GrupoJ,z34,0,TRUE
GrupoJ,z35,0,TRUE
GrupoJ,z36,0,TRUE
GrupoJ,z37,0,TRUE
GrupoJ,z38,0,TRUE
GrupoJ,z39,0,TRUE
GrupoJ,z40,0,TRUE
GrupoJ,z41,0,TRUE
GrupoJ,z42,0,TRUE
GrupoJ,z43,0,TRUE
GrupoJ,z44,0,TRUE
GrupoJ,z45,0,TRUE
GrupoJ,z46,0,TRUE
GrupoJ,z48,0,TRUE
GrupoJ,z49,0,TRUE
GrupoJ,z50,0,TRUE
GrupoJ,z51,0,TRUE
GrupoJ,z52,0,TRUE
GrupoJ,z53,0,TRUE
GrupoJ,z54,0,TRUE
GrupoJ,z55,0,TRUE
GrupoJ,z56,0,TRUE
GrupoJ,z57,0,TRUE
GrupoJ,z58,0,TRUE
GrupoJ,z59,0,TRUE
GrupoK,z00,2,FALSE
GrupoK,z01,2,FALSE
GrupoK,z02,1,FALSE
GrupoK,z03,2,FALSE
GrupoK,z04,0,TRUE
GrupoK,z05,0,TRUE
GrupoK,z06,2,FALSE
GrupoK,z07,1,FALSE
GrupoK,z08,2,FALSE
GrupoK,z09,2,FALSE
GrupoK,z10,0,TRUE
GrupoK,z11,0,TRUE
GrupoK,z12,0,TRUE
GrupoK,z13,0,TRUE
GrupoK,z14,0,TRUE
GrupoK,z15,0,TRUE
GrupoK,z16,0,TRUE
GrupoK,z17,0,TRUE
GrupoK,z18,1,FALSE
GrupoK,z19,1,FALSE
GrupoK,z20,0,TRUE
GrupoK,z21,1,FALSE
GrupoK,z22,0,TRUE
GrupoK,z23,1,FALSE
GrupoK,z24,1,FALSE
GrupoK,z25,0,TRUE
GrupoK,z26,2,FALSE
GrupoK,z27,0,TRUE
GrupoK,z28,0,TRUE
GrupoK,z29,0,TRUE
GrupoK,z30,0,TRUE
GrupoK,z31,0,TRUE
GrupoK,z32,0,TRUE
GrupoK,z33,0,TRUE
GrupoK,z34,0,TRUE
GrupoK,z35,1,FALSE
GrupoK,z36,0,TRUE
GrupoK,z37,0,TRUE
GrupoK,z38,0,TRUE
GrupoK,z39,0,TRUE
GrupoK,z40,0,TRUE
GrupoK,z41,0,TRUE
GrupoK,z42,0,TRUE
GrupoK,z43,0,TRUE
GrupoK,z44,0,TRUE
GrupoK,z45,0,TRUE
GrupoK,z46,0,TRUE
GrupoK,z48,1,FALSE
GrupoK,z49,1,FALSE
GrupoK,z50,1,FALSE
GrupoK,z51,2,FALSE
GrupoK,z52,2,FALSE
GrupoK,z53,0,TRUE
GrupoK,z54,0,TRUE
GrupoK,z55,0,TRUE
GrupoK,z56,2,FALSE
GrupoK,z57,2,FALSE
GrupoK,z58,2,FALSE
GrupoK,z59,2,FALSE
GrupoL,z00,2,FALSE
GrupoL,z01,0,TRUE
GrupoL,z02,0,TRUE
GrupoL,z03,0,TRUE
GrupoL,z04,0,TRUE
GrupoL,z05,0,TRUE
GrupoL,z06,0,TRUE
GrupoL,z07,1,FALSE
GrupoL,z08,0,TRUE
GrupoL,z09,0,TRUE
GrupoL,z10,0,TRUE
GrupoL,z11,0,TRUE
GrupoL,z12,0,TRUE
GrupoL,z13,0,TRUE
GrupoL,z14,0,TRUE
GrupoL,z15,0,TRUE
GrupoL,z16,0,TRUE
GrupoL,z17,0,TRUE
GrupoL,z18,0,TRUE
GrupoL,z19,0,TRUE
GrupoL,z20,0,TRUE
GrupoL,z21,0,TRUE
GrupoL,z22,0,TRUE
GrupoL,z23,0,TRUE
GrupoL,z24,0,TRUE
GrupoL,z25,0,TRUE
GrupoL,z26,0,TRUE
GrupoL,z27,0,TRUE
GrupoL,z28,0,TRUE
GrupoL,z29,0,TRUE
GrupoL,z30,0,TRUE
GrupoL,z31,0,TRUE
GrupoL,z32,0,TRUE
GrupoL,z33,0,TRUE
GrupoL,z34,0,TRUE
GrupoL,z35,0,TRUE
GrupoL,z36,0,TRUE
GrupoL,z37,0,TRUE
GrupoL,z38,0,TRUE
GrupoL,z39,0,TRUE
GrupoL,z40,0,TRUE
GrupoL,z41,0,TRUE
GrupoL,z42,0,TRUE
GrupoL,z43,0,TRUE
GrupoL,z44,0,TRUE
GrupoL,z45,0,TRUE
GrupoL,z46,0,TRUE
GrupoL,z48,0,TRUE
GrupoL,z49,0,TRUE
GrupoL,z50,0,TRUE
GrupoL,z51,0,TRUE
GrupoL,z52,0,TRUE
GrupoL,z53,0,TRUE
GrupoL,z54,0,TRUE
GrupoL,z55,0,TRUE
GrupoL,z56,0,TRUE
GrupoL,z57,0,TRUE
GrupoL,z58,0,TRUE
GrupoL,z59,0,TRUE
GrupoM,z00,2,FALSE
GrupoM,z01,0,TRUE
GrupoM,z02,0,TRUE
GrupoM,z03,0,TRUE
GrupoM,z04,0,TRUE
GrupoM,z05,0,TRUE
GrupoM,z06,0,TRUE
GrupoM,z07,0,TRUE
GrupoM,z08,0,TRUE
GrupoM,z09,0,TRUE
GrupoM,z10,0,TRUE
GrupoM,z11,0,TRUE
GrupoM,z12,0,TRUE
GrupoM,z13,0,TRUE
GrupoM,z14,0,TRUE
GrupoM,z15,0,TRUE
GrupoM,z16,0,TRUE
GrupoM,z17,0,TRUE
GrupoM,z18,0,TRUE
GrupoM,z19,0,TRUE
GrupoM,z20,0,TRUE
GrupoM,z21,0,TRUE
GrupoM,z22,0,TRUE
GrupoM,z23,0,TRUE
GrupoM,z24,0,TRUE
GrupoM,z25,0,TRUE
GrupoM,z26,0,TRUE
GrupoM,z27,0,TRUE
GrupoM,z28,0,TRUE
GrupoM,z29,0,TRUE
GrupoM,z30,0,TRUE
GrupoM,z31,0,TRUE
GrupoM,z32,0,TRUE
GrupoM,z33,0,TRUE
GrupoM,z34,0,TRUE
GrupoM,z35,0,TRUE
GrupoM,z36,0,TRUE
GrupoM,z37,0,TRUE
GrupoM,z38,0,TRUE
GrupoM,z39,0,TRUE
GrupoM,z40,0,TRUE
GrupoM,z41,0,TRUE
GrupoM,z42,0,TRUE
GrupoM,z43,0,TRUE
GrupoM,z44,0,TRUE
GrupoM,z45,0,TRUE
GrupoM,z46,0,TRUE
GrupoM,z48,0,TRUE
GrupoM,z49,0,TRUE
GrupoM,z50,0,TRUE
GrupoM,z51,0,TRUE
GrupoM,z52,0,TRUE
GrupoM,z53,0,TRUE
GrupoM,z54,0,TRUE
GrupoM,z55,0,TRUE
GrupoM,z56,0,TRUE
GrupoM,z57,0,TRUE
GrupoM,z58,0,TRUE
GrupoM,z59,0,TRUE
GrupoN,z00,0,TRUE
GrupoN,z01,139,FALSE
GrupoN,z02,139,FALSE
GrupoN,z03,139,FALSE
GrupoN,z04,139,FALSE
GrupoN,z05,139,FALSE
GrupoN,z06,139,FALSE
GrupoN,z07,139,FALSE
GrupoN,z08,139,FALSE
GrupoN,z09,139,FALSE
GrupoN,z10,139,FALSE
GrupoN,z11,139,FALSE
GrupoN,z12,139,FALSE
GrupoN,z13,139,FALSE
GrupoN,z14,139,FALSE
GrupoN,z15,139,FALSE
GrupoN,z16,139,FALSE
GrupoN,z17,139,FALSE
GrupoN,z18,139,FALSE
GrupoN,z19,139,FALSE
GrupoN,z20,139,FALSE
GrupoN,z21,139,FALSE
GrupoN,z22,139,FALSE
GrupoN,z23,139,FALSE
GrupoN,z24,139,FALSE
GrupoN,z25,139,FALSE
GrupoN,z26,139,FALSE
GrupoN,z27,139,FALSE
GrupoN,z28,139,FALSE
GrupoN,z29,139,FALSE
GrupoN,z30,139,FALSE
GrupoN,z31,139,FALSE
GrupoN,z32,139,FALSE
GrupoN,z33,139,FALSE
GrupoN,z34,139,FALSE
GrupoN,z35,139,FALSE
GrupoN,z36,139,FALSE
GrupoN,z37,139,FALSE
GrupoN,z38,139,FALSE
GrupoN,z39,139,FALSE
GrupoN,z40,139,FALSE
GrupoN,z41,139,FALSE
GrupoN,z42,139,FALSE
GrupoN,z43,139,FALSE
GrupoN,z44,139,FALSE
GrupoN,z45,139,FALSE
GrupoN,z46,139,FALSE
GrupoN,z48,139,FALSE
GrupoN,z49,139,FALSE
GrupoN,z50,139,FALSE
GrupoN,z51,139,FALSE
GrupoN,z52,139,FALSE
GrupoN,z53,139,FALSE
GrupoN,z54,139,FALSE
GrupoN,z55,139,FALSE
GrupoN,z56,139,FALSE
GrupoN,z57,139,FALSE
GrupoN,z58,139,FALSE
GrupoN,z59,139,FALSE
GrupoO,z00,0,TRUE
GrupoO,z01,0,TRUE
GrupoO,z02,0,TRUE
GrupoO,z03,0,TRUE
GrupoO,z04,0,TRUE
GrupoO,z05,0,TRUE
GrupoO,z06,0,TRUE
GrupoO,z07,0,TRUE
GrupoO,z08,0,TRUE
GrupoO,z09,0,TRUE
GrupoO,z10,0,TRUE
GrupoO,z11,0,TRUE
GrupoO,z12,0,TRUE
GrupoO,z13,0,TRUE
GrupoO,z14,0,TRUE
GrupoO,z15,0,TRUE
GrupoO,z16,0,TRUE
GrupoO,z17,0,TRUE
GrupoO,z18,0,TRUE
GrupoO,z19,0,TRUE
GrupoO,z20,0,TRUE
GrupoO,z21,0,TRUE
GrupoO,z22,0,TRUE
GrupoO,z23,0,TRUE
GrupoO,z24,0,TRUE
GrupoO,z25,0,TRUE
GrupoO,z26,0,TRUE
GrupoO,z27,0,TRUE
GrupoO,z28,0,TRUE
GrupoO,z29,0,TRUE
GrupoO,z30,0,TRUE
GrupoO,z31,0,TRUE
GrupoO,z32,0,TRUE
GrupoO,z33,0,TRUE
GrupoO,z34,0,TRUE
GrupoO,z35,0,TRUE
GrupoO,z36,0,TRUE
GrupoO,z37,0,TRUE
GrupoO,z38,0,TRUE
GrupoO,z39,0,TRUE
GrupoO,z40,0,TRUE
GrupoO,z41,0,TRUE
GrupoO,z42,0,TRUE
GrupoO,z43,0,TRUE
GrupoO,z44,0,TRUE
GrupoO,z45,0,TRUE
GrupoO,z46,0,TRUE
GrupoO,z48,0,TRUE
GrupoO,z49,0,TRUE
GrupoO,z50,0,TRUE
